Timestamp,Sensor,Valor
1775756483.529453,boton_1,1
1775756484.521256,boton_1,0
1775756533.204692,boton_1,1
1775756533.520307,boton_1,0
1775756533.830841,boton_1,1
1775756534.218257,boton_1,0
1775756534.486017,boton_1,1
1775756534.830121,boton_1,0
1775756535.126857,boton_1,1
1775756535.476667,boton_1,0
1775756535.914539,boton_1,1
1775756536.248725,boton_1,0
1775756536.570462,boton_1,1
1775756538.742017,boton_1,0
1775756538.979893,boton_1,1
1775756539.380387,boton_1,0
1775756539.383257,boton_1,1
1775756539.386036,boton_1,0
1775756539.555481,boton_1,1
1775756539.874064,boton_1,0
1775756540.094194,boton_1,1
1775756540.342286,boton_1,0
1775756540.568462,boton_1,1
1775756540.75944,boton_1,0
1775756544.639414,boton_1,1
1775756545.141039,boton_1,0
1775756545.327551,boton_1,1
1775756545.773839,boton_1,0
1775756546.020882,boton_1,1
1775756547.23642,boton_1,0
1775756547.354885,boton_1,1
1775756547.476488,boton_1,0
1775756552.500896,boton_1,1
1775756553.406142,boton_1,0
1775756553.63625,boton_1,1
1775756553.958952,boton_1,0
1775756554.197579,boton_1,1
1775756556.75569,boton_1,0
1775756556.97229,boton_1,1
1775756557.309452,boton_1,0
1775756557.502879,boton_1,1
1775756557.649437,boton_1,0
1775756557.753977,boton_1,1
1775756557.891141,boton_1,0
1775756557.982871,boton_1,1
1775756558.100298,boton_1,0
1775756558.200866,boton_1,1
1775756558.292779,boton_1,0
1775756558.392803,boton_1,1
1775756558.485266,boton_1,0
1775756558.62386,boton_1,1
1775756558.744884,boton_1,0
1775756558.940218,boton_1,1
1775756559.06332,boton_1,0
1775756559.224707,boton_1,1
1775756559.36708,boton_1,0
1775756559.52752,boton_1,1
1775756559.620827,boton_1,0
1775756559.623665,boton_1,1
1775756559.626168,boton_1,0
1775756559.628683,boton_1,1
1775756559.631121,boton_1,0
1775756559.735961,boton_1,1
1775756559.81424,boton_1,0
1775756559.922037,boton_1,1
1775756559.995623,boton_1,0
1775756560.113297,boton_1,1
1775756560.192608,boton_1,0
1775756560.501916,boton_1,1
1775756560.562846,boton_1,0
1775756560.688986,boton_1,1
1775756560.7754,boton_1,0
1775756560.875053,boton_1,1
1775756560.964629,boton_1,0
1775756561.059902,boton_1,1
1775756561.14154,boton_1,0
1775756561.242978,boton_1,1
1775756561.323413,boton_1,0
1775756561.416356,boton_1,1
1775756561.492714,boton_1,0
1775756561.589219,boton_1,1
1775756561.663086,boton_1,0
1775756561.745207,boton_1,1
1775756561.846045,boton_1,0
1775756561.948278,boton_1,1
1775756562.037562,boton_1,0
1775756562.388477,boton_1,1
1775756562.438725,boton_1,0
1775756562.575689,boton_1,1
1775756562.648831,boton_1,0
1775756562.755238,boton_1,1
1775756562.839224,boton_1,0
1775756562.94186,boton_1,1
1775756563.015413,boton_1,0
1775756563.116485,boton_1,1
1775756563.190548,boton_1,0
1775756563.294419,boton_1,1
1775756563.380419,boton_1,0
1775756566.662608,boton_1,1
1775756566.842175,boton_1,0
1775756566.961145,boton_1,1
1775756567.051993,boton_1,0
1775756567.176992,boton_1,1
1775756567.280975,boton_1,0
1775756567.394902,boton_1,1
1775756567.501551,boton_1,0
1775756567.644657,boton_1,1
1775756567.822078,boton_1,0
1775756567.957227,boton_1,1
1775756568.066121,boton_1,0
1775756568.243249,boton_1,1
1775756568.3798,boton_1,0
1775756568.504315,boton_1,1
1775756568.585152,boton_1,0
1775756568.711424,boton_1,1
1775756568.767333,boton_1,0
1775756568.889357,boton_1,1
1775756569.014336,boton_1,0
1775757022.422076,boton_1,1
1775757083.05931,boton_1,0
1775757134.548502,boton_1,1
1775757134.705193,boton_1,0
1775757134.860517,boton_1,1
1775757134.946706,boton_1,0
1775770993.249489,boton_1,1
1775770993.604127,boton_1,0
1775770993.812185,boton_1,1
1775770994.176428,boton_1,0
1775770994.407678,boton_1,1
1775770995.090498,boton_1,0
1775772141.280108,boton_1,1
1775772143.221098,boton_1,0
1775772143.515474,boton_1,1
1775772149.575553,boton_1,0
1775772173.69547,boton_1,1
1775772174.117228,boton_1,0
1775772174.418515,boton_1,1
1775772174.986548,boton_1,0
1775772175.299909,boton_1,1
1775772175.907388,boton_1,0
1775772179.287286,boton_1,1
1775772181.905207,boton_1,0
1775772182.196791,boton_1,1
1775772182.409955,boton_1,0
1775772182.626016,boton_1,1
1775772182.758966,boton_1,0
1775772182.896106,boton_1,1
1775772182.98457,boton_1,0
1775772183.090482,boton_1,1
1775772183.17523,boton_1,0
1775772183.266851,boton_1,1
1775772183.356684,boton_1,0
1775772183.421872,boton_1,1
1775772183.589385,boton_1,0
1775772183.699833,boton_1,1
1775772183.798523,boton_1,0
1775772187.802662,boton_1,1
1775772187.976429,boton_1,0
1775772188.267776,boton_1,1
1775772188.450194,boton_1,0
1775772188.583439,boton_1,1
1775772188.794891,boton_1,0
1775772188.89654,boton_1,1
1775772189.285762,boton_1,0
1775772484.358777,boton_1,1
1775772485.098822,boton_1,0
1775772485.316142,boton_1,1
1775772485.486692,boton_1,0
1775772485.620658,boton_1,1
1775772485.769886,boton_1,0
1775772485.923512,boton_1,1
1775772486.074519,boton_1,0
1775772486.205475,boton_1,1
1775772486.293889,boton_1,0
1775772486.296618,boton_1,1
1775772486.299104,boton_1,0
1775772486.406471,boton_1,1
1775772486.480642,boton_1,0
1775772486.580121,boton_1,1
1775772486.656028,boton_1,0
1775772486.744182,boton_1,1
1775772486.807298,boton_1,0
1775772486.809804,boton_1,1
1775772486.812165,boton_1,0
1775772486.943377,boton_1,1
1775772490.324127,boton_1,0
1775772490.494085,boton_1,1
1775772490.600348,boton_1,0
1775772490.713415,boton_1,1
1775772490.821528,boton_1,0
1775772490.916072,boton_1,1
1775772491.02736,boton_1,0
1775772491.147048,boton_1,1
1775772491.272149,boton_1,0
1775772491.382773,boton_1,1
1775772491.491624,boton_1,0
1775772491.615498,boton_1,1
1775772491.730876,boton_1,0
1775772491.834841,boton_1,1
1775772491.951217,boton_1,0
1775772492.052811,boton_1,1
1775772492.163434,boton_1,0
1775772492.279593,boton_1,1
1775772492.382887,boton_1,0
1775772492.485588,boton_1,1
1775772492.589828,boton_1,0
1775772771.292329,boton_1,1
1775772771.436993,boton_1,0
1775772771.529104,boton_1,1
1775772771.641846,boton_1,0
1775772771.721584,boton_1,1
1775772771.823302,boton_1,0
1775772771.91742,boton_1,1
1775772772.010644,boton_1,0
1775772772.109019,boton_1,1
